thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
11.5,11.5,-0.024900001,517.86,514.42,396.89,162.02,8.746427842000001,32.049999199999995,51.05,-118.33331299999999,39.50012207,83.34919740000001,5.0,0.31294188,118.33599850000002,-38.882,50184.30078,-25.9944,1426.709961
9.997,17.0,-0.015,879.1,704.1,840.71,349.82,12.98075499,37.0,56.07,-98.33331299,22.50012207,58.9398003,6.0,0.93264687,-23.701400800000002,-19.2275009,71750.89844,153.7160034,32.993099199999996
15.998,15.0,0.0136,1144.92,1243.71,1461.16,957.63,7.106335202,45.909999799999994,304.5,-99.33331299,30.50012207,46.65489960000001,4.0,1.66806185,-48.8795013,-37.1413002,107968.0,109.22599790000001,579.757019
13.0,12.0,0.0011,2758.51,2551.32,2796.32,1815.67,19.81161276,34.8600006,1471.91,-90.33331299,50.50012207,39.8306999,2.0,2.53544307,296.74700930000006,-37.7313995,257386.0,78.5477982,425.12100219999996
12.995,12.0,-0.0229,1842.88,1094.39,1097.83,1641.99,33.14362684,36.3600006,184.09,74.66668701,18.50012207,43.340400700000004,4.0,1.93458998,56.13970179999999,-43.832199100000004,116499.0,25.5527,570.6950072999999
15.5,16.0,-0.0081,3138.84,1687.39,2798.09,1335.18,26.1629509,41.0,1448.65,-56.33331299,-14.5,72.413002,4.0,1.34543872,-55.7826996,-36.4291992,140478.0,84.1355972,411.5509949
16.004,15.0,-0.0076,3083.93,2097.54,3228.92,1717.73,22.77059507,43.8699989,1895.45,-51.33331299,-17.5,62.5144005,2.0,2.09225869,23.4479008,-39.6166,201926.0,54.62910079999999,896.5219727
11.999,12.0,-0.046599999,1756.49,799.55,3088.01,483.79,13.28533026,37.0,1062.08,-140.33331299999998,66.50012207,43.3903999,4.0,1.41421378,-68.8628006,-31.523000699999997,175396.0,72.3998032,808.0570068
15.003,16.0,0.005,984.03,2511.11,2760.28,476.94,65.7000761,47.8899994,197.37,94.66668701,51.50012207,41.1278,6.0,0.77422529,82.2951965,-38.6655006,73662.29688,-68.65460209999999,744.9479980000001
7.499,8.0,0.019200001,1263.26,1286.95,1469.76,1022.86,9.192388155,35.5499992,474.7,-98.33331299,29.50012207,53.801399200000006,4.0,1.6419456000000001,-29.341999100000002,-38.2953987,74686.5,82.3038025,213.38499449999998
