thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
0.67,1.48,-0.0154,1217.05,862.83,1057.03,1138.01,2973.0002535296294,6.98,1250.42,-84.5,-60.5,10.0,1.02903,-5.16814804077,-10.505311,45126.201629999996,513.734558105,-4932
0.68,1.48,-0.018999999,1168.01,818.92,1011.11,1107.96,2964.1436778363104,7.0,1209.55,-83.5,-60.5,10.0,1.02903,-6.76998996735,-9.736218,41514.019009999996,513.818725586,-4893
0.67,1.46,-0.018999999,1119.11,776.93,957.51,1079.5,2957.0374612272904,6.93,1169.23,-82.5,-60.5,10.0,1.05306,-5.9898891449,-9.390551,32976.4061,513.294433594,-4962
0.66,1.44,-0.0148,1070.37,737.21,904.25,1052.73,2951.6954863335,6.93,1129.53,-81.5,-60.5,10.0,1.16734,-3.18231081963,-9.775738,25213.165279999997,512.26348877,-4950
0.65,1.44,-0.0132,1021.85,699.27,851.41,1027.68,2948.128274879303,6.94,1090.52,-80.5,-60.5,10.0,1.16734,1.00108349323,-10.157465,22364.322659999998,510.825714111,-4983
0.67,1.46,-0.016000001,973.58,662.15,799.08,1001.21,2946.3428942870564,6.96,1045.85,-79.5,-60.5,10.0,1.16734,5.54760837555,-10.100035,20575.590129999997,508.947235107,-4982
0.67,1.47,-0.0175,925.61,625.38,747.38,973.46,2946.3428942870564,6.93,997.07,-78.5,-60.5,10.0,1.16734,8.82010269165,-10.077958,20045.21561,506.324310303,-4945
0.67,1.47,-0.0149,878.01,591.51,696.47,938.36,2948.128274879303,6.97,948.53,-77.5,-60.5,10.0,1.1343,9.00366592407,-10.289651,19693.47572,502.555633545,-4875
0.66,1.45,-0.0138,830.85,560.37,646.55,900.97,2951.6954863335,7.1,900.3,-76.5,-60.5,10.0,1.1343,5.71817684174,-10.480856,19812.87003,497.460968018,-4720
0.74,1.65,-0.0197,784.22,525.85,597.88,864.3,2957.0374612272904,8.01,852.44,-75.5,-60.5,10.0,1.1343,1.0248311758,-10.862418,19914.63852,491.458374023,-4572
0.64,1.42,-0.0272,738.24,495.57,550.8,829.45,2964.1436778363104,6.92,805.02,-74.5,-60.5,10.0,1.1343,-2.57786107063,-11.577254,20310.70518,485.458740234,-4432
0.66,1.45,-0.028100001,693.04,469.81,505.76,796.6,2973.0002535296294,6.98,758.14,-73.5,-60.5,10.0,1.1343,-3.71637201309,-12.02893,20575.68359,480.205718994,-4248
0.66,1.47,-0.025599999,648.81,448.9,463.38,755.22,2983.5900662152476,6.92,711.93,-72.5,-60.5,10.0,1.1343,-2.09842443466,-12.040891,21107.740400000002,475.626800537,-4282
